l1d cache size,l1i cache size,l2 cache size,unrolling factor,number of cycles
64kB,8kB,256kB,16,42141861
64kB,8kB,256kB,32,41921899
64kB,8kB,512kB,2,42521289
64kB,8kB,512kB,4,42315121
64kB,8kB,512kB,8,42203192
64kB,8kB,512kB,16,42128860
64kB,8kB,512kB,32,41904591
64kB,8kB,1024kB,2,42533334
64kB,8kB,1024kB,4,42307060
64kB,8kB,1024kB,8,42168111
64kB,8kB,1024kB,16,42131976
64kB,8kB,1024kB,32,41940531
2kB,16kB,128kB,2,60005266
2kB,16kB,128kB,4,59817912
2kB,16kB,128kB,8,59655036
2kB,16kB,128kB,16,59559746
2kB,16kB,128kB,32,59411925
2kB,16kB,256kB,2,60004197
2kB,16kB,256kB,4,59803203
2kB,16kB,256kB,8,59650306
2kB,16kB,256kB,16,59563182
2kB,16kB,256kB,32,59397275
2kB,16kB,512kB,2,59968503
2kB,16kB,512kB,4,59778858
2kB,16kB,512kB,8,59617686
2kB,16kB,512kB,16,59538881
2kB,16kB,512kB,32,59382221
2kB,16kB,1024kB,2,59975639
2kB,16kB,1024kB,4,59793865
2kB,16kB,1024kB,8,59647499
2kB,16kB,1024kB,16,59571263
2kB,16kB,1024kB,32,59382607
4kB,16kB,128kB,2,59902474
4kB,16kB,128kB,4,59714104
4kB,16kB,128kB,8,59557946
4kB,16kB,128kB,16,59456548
4kB,16kB,128kB,32,59266744
4kB,16kB,256kB,2,59886901
4kB,16kB,256kB,4,59684849
4kB,16kB,256kB,8,59544209
4kB,16kB,256kB,16,59447444
4kB,16kB,256kB,32,59255176
4kB,16kB,512kB,2,59864650
4kB,16kB,512kB,4,59671653
4kB,16kB,512kB,8,59519309
4kB,16kB,512kB,16,59432138
4kB,16kB,512kB,32,59244650
4kB,16kB,1024kB,2,59841786
4kB,16kB,1024kB,4,59655901
4kB,16kB,1024kB,8,59511228
4kB,16kB,1024kB,16,59439222
4kB,16kB,1024kB,32,59268111
8kB,16kB,128kB,2,59811215
8kB,16kB,128kB,4,59617962
8kB,16kB,128kB,8,59461494
8kB,16kB,128kB,16,59366412
8kB,16kB,128kB,32,59228140
8kB,16kB,256kB,2,59794203
8kB,16kB,256kB,4,59591317
8kB,16kB,256kB,8,59445914
8kB,16kB,256kB,16,59353858
8kB,16kB,256kB,32,59217371
8kB,16kB,512kB,2,59768608
8kB,16kB,512kB,4,59586082
8kB,16kB,512kB,8,59428964
8kB,16kB,512kB,16,59342646
8kB,16kB,512kB,32,59208602
8kB,16kB,1024kB,2,59776394
8kB,16kB,1024kB,4,59592412
8kB,16kB,1024kB,8,59447661
8kB,16kB,1024kB,16,59371970
8kB,16kB,1024kB,32,59235384
16kB,16kB,128kB,2,42903590
16kB,16kB,128kB,4,42691594
16kB,16kB,128kB,8,42525130
16kB,16kB,128kB,16,42452179
16kB,16kB,128kB,32,42300132
