L1D_cache_size,L1I_cache_size,L2_cache_size,unrolling_factor,number of cycles,L1I_KB,L1D_KB,L2_KB,total_Memory_KB,exec_time_cc
8kB,4kB,1024kB,16,59382454,4,8,1024,1036,59382454
8kB,4kB,1024kB,32,63964621,4,8,1024,1036,63964621
16kB,4kB,128kB,2,42926516,4,16,128,148,42926516
16kB,4kB,128kB,4,42714641,4,16,128,148,42714641
16kB,4kB,128kB,8,42546499,4,16,128,148,42546499
16kB,4kB,128kB,16,42472280,4,16,128,148,42472280
16kB,4kB,128kB,32,47007548,4,16,128,148,47007548
16kB,4kB,256kB,2,42857102,4,16,256,276,42857102
16kB,4kB,256kB,4,42645892,4,16,256,276,42645892
16kB,4kB,256kB,8,42476422,4,16,256,276,42476422
16kB,4kB,256kB,16,42474050,4,16,256,276,42474050
16kB,4kB,256kB,32,46993497,4,16,256,276,46993497
16kB,4kB,512kB,2,42893891,4,16,512,532,42893891
16kB,4kB,512kB,4,42676950,4,16,512,532,42676950
16kB,4kB,512kB,8,42515354,4,16,512,532,42515354
16kB,4kB,512kB,16,42509141,4,16,512,532,42509141
16kB,4kB,512kB,32,47017123,4,16,512,532,47017123
16kB,4kB,1024kB,2,42901853,4,16,1024,1044,42901853
16kB,4kB,1024kB,4,42717181,4,16,1024,1044,42717181
16kB,4kB,1024kB,8,42527113,4,16,1024,1044,42527113
16kB,4kB,1024kB,16,42484175,4,16,1024,1044,42484175
16kB,4kB,1024kB,32,47036600,4,16,1024,1044,47036600
32kB,4kB,128kB,2,42553573,4,32,128,164,42553573
32kB,4kB,128kB,4,42331514,4,32,128,164,42331514
32kB,4kB,128kB,8,42246795,4,32,128,164,42246795
32kB,4kB,128kB,16,42146735,4,32,128,164,42146735
32kB,4kB,128kB,32,46612272,4,32,128,164,46612272
32kB,4kB,256kB,2,42545793,4,32,256,292,42545793
32kB,4kB,256kB,4,42339463,4,32,256,292,42339463
32kB,4kB,256kB,8,42189009,4,32,256,292,42189009
32kB,4kB,256kB,16,42138900,4,32,256,292,42138900
32kB,4kB,256kB,32,46620597,4,32,256,292,46620597
32kB,4kB,512kB,2,42523447,4,32,512,548,42523447
32kB,4kB,512kB,4,42315270,4,32,512,548,42315270
32kB,4kB,512kB,8,42165602,4,32,512,548,42165602
32kB,4kB,512kB,16,42118938,4,32,512,548,42118938
32kB,4kB,512kB,32,46612717,4,32,512,548,46612717
32kB,4kB,1024kB,2,42543990,4,32,1024,1060,42543990
32kB,4kB,1024kB,4,42322556,4,32,1024,1060,42322556
32kB,4kB,1024kB,8,42181175,4,32,1024,1060,42181175
32kB,4kB,1024kB,16,42142206,4,32,1024,1060,42142206
32kB,4kB,1024kB,32,46658639,4,32,1024,1060,46658639
64kB,4kB,128kB,2,42737932,4,64,128,196,42737932
64kB,4kB,128kB,4,42527543,4,64,128,196,42527543
64kB,4kB,128kB,8,42356718,4,64,128,196,42356718
64kB,4kB,128kB,16,42308275,4,64,128,196,42308275
64kB,4kB,128kB,32,46855591,4,64,128,196,46855591
64kB,4kB,256kB,2,42538000,4,64,256,324,42538000
64kB,4kB,256kB,4,42311696,4,64,256,324,42311696
64kB,4kB,256kB,8,42183907,4,64,256,324,42183907
64kB,4kB,256kB,16,42147549,4,64,256,324,42147549
64kB,4kB,256kB,32,46612272,4,64,256,324,46612272
64kB,4kB,512kB,2,42523776,4,64,512,580,42523776
64kB,4kB,512kB,4,42299214,4,64,512,580,42299214
64kB,4kB,512kB,8,42167004,4,64,512,580,42167004
64kB,4kB,512kB,16,42131976,4,64,512,580,42131976
64kB,4kB,512kB,32,46612556,4,64,512,580,46612556
64kB,4kB,1024kB,2,42540783,4,64,1024,1092,42540783
64kB,4kB,1024kB,4,42322556,4,64,1024,1092,42322556
64kB,4kB,1024kB,8,42176441,4,64,1024,1092,42176441
64kB,4kB,1024kB,16,42149285,4,64,1024,1092,42149285
64kB,4kB,1024kB,32,46646420,4,64,1024,1092,46646420
2kB,8kB,128kB,2,60026111,8,2,128,138,60026111
2kB,8kB,128kB,4,59833449,8,2,128,138,59833449
2kB,8kB,128kB,8,59682892,8,2,128,138,59682892
2kB,8kB,128kB,16,59588559,8,2,128,138,59588559
2kB,8kB,128kB,32,59427801,8,2,128,138,59427801
2kB,8kB,256kB,2,60002752,8,2,256,266,60002752
2kB,8kB,256kB,4,59800397,8,2,256,266,59800397
2kB,8kB,256kB,8,59655029,8,2,256,266,59655029
2kB,8kB,256kB,16,59562842,8,2,256,266,59562842
2kB,8kB,256kB,32,59411598,8,2,256,266,59411598
2kB,8kB,512kB,2,59993424,8,2,512,522,59993424
2kB,8kB,512kB,4,59809870,8,2,512,522,59809870
2kB,8kB,512kB,8,59659014,8,2,512,522,59659014
2kB,8kB,512kB,16,59566865,8,2,512,522,59566865
2kB,8kB,512kB,32,59394093,8,2,512,522,59394093
2kB,8kB,1024kB,2,59993572,8,2,1024,1034,59993572
2kB,8kB,1024kB,4,59804736,8,2,1024,1034,59804736
2kB,8kB,1024kB,8,59663071,8,2,1024,1034,59663071
2kB,8kB,1024kB,16,59584961,8,2,1024,1034,59584961
2kB,8kB,1024kB,32,59400295,8,2,1024,1034,59400295
4kB,8kB,128kB,2,59918046,8,4,128,140,59918046
4kB,8kB,128kB,4,59729676,8,4,128,140,59729676
4kB,8kB,128kB,8,59568822,8,4,128,140,59568822
4kB,8kB,128kB,16,59473687,8,4,128,140,59473687
4kB,8kB,128kB,32,59281539,8,4,128,140,59281539
4kB,8kB,256kB,2,59900199,8,4,256,268,59900199
